college,lat,long
http://dbpedia.org/resource/Washington_County_Community_College,45.166,-67.243
http://dbpedia.org/resource/Washington_Hall_(University_of_Notre_Dame),41.7023,-86.2382
http://dbpedia.org/resource/Washington_State_Community_College,39.4311,-81.4339
http://dbpedia.org/resource/Washington_State_Fire_Training_Academy,47.4539,-121.661
http://dbpedia.org/resource/Washington_State_University,46.73,-117.16
"http://dbpedia.org/resource/Washington_State_University_College_of_Agricultural,_Human,_and_Natural_Resource_Sciences",46.7315,-117.155
http://dbpedia.org/resource/Washington_State_University_College_of_Veterinary_Medicine,46.7281,-117.158
http://dbpedia.org/resource/Washington_State_University_Everett,48.005,-122.197
http://dbpedia.org/resource/Washington_State_University_Spokane,47.6614,-117.406
http://dbpedia.org/resource/Washington_State_University_Tri-Cities,46.3303,-119.263
http://dbpedia.org/resource/Washington_State_University_Vancouver,45.7311,-122.637
http://dbpedia.org/resource/Washington_Theological_Union,38.9746,-77.0138
http://dbpedia.org/resource/Washington_University_Medical_Center,38.637,-90.265
http://dbpedia.org/resource/Washington_University_School_of_Law,38.6497,-90.3121
http://dbpedia.org/resource/Washington_University_School_of_Medicine,38.637,-90.2646
http://dbpedia.org/resource/Washington_University_in_St._Louis,38.648,-90.305
http://dbpedia.org/resource/Washington_University_of_Barbados,13.0943,-59.4742
http://dbpedia.org/resource/Washington_and_Lee_University,37.7866,-79.4443
http://dbpedia.org/resource/Washington_and_Lee_University_School_of_Law,37.7914,-79.4439
http://dbpedia.org/resource/Washtenaw_Community_College,42.2641,-83.665
http://dbpedia.org/resource/Watkins_College_of_Art_at_Belmont_University,36.1945,-86.806
http://dbpedia.org/resource/Waukesha_County_Technical_College,43.0722,-88.2558
http://dbpedia.org/resource/Wavoo_Wajeeha_Women's_College,13.0384,80.2128
http://dbpedia.org/resource/Wayland_Baptist_University,34.1868,-101.726
http://dbpedia.org/resource/Wayne_College,40.8617,-81.7903
http://dbpedia.org/resource/Wayne_State_College,42.2411,-97.015
http://dbpedia.org/resource/Wayne_State_University,42.3573,-83.0701
http://dbpedia.org/resource/Wayne_State_University_Law_School,42.3605,-83.0709
http://dbpedia.org/resource/Wayne_State_University_School_of_Social_Work,42.3608,-83.0675
http://dbpedia.org/resource/Waynesburg_University,39.8993,-80.1875
http://dbpedia.org/resource/Waynesville-St._Robert_Regional_Airport,37.7417,-92.1408
http://dbpedia.org/resource/Wayo_Women's_University,35.7423,139.904
http://dbpedia.org/resource/Weatherford_College,32.7405,-97.7921
http://dbpedia.org/resource/Web@cademie,48.8153,2.36306
http://dbpedia.org/resource/Webb_Institute,40.8844,-73.6444
http://dbpedia.org/resource/Webber_International_University,27.8398,-81.5359
http://dbpedia.org/resource/Weber_State_University,41.193,-111.944
http://dbpedia.org/resource/Webster_University,38.5892,-90.3457
http://dbpedia.org/resource/Webster_University_Orlando,28.5407,-81.3853
http://dbpedia.org/resource/Webster_University_Thailand,12.6571,99.8513
